iter	Passed	Remaining
0	173	173812
1	182	91133
2	190	63237
3	198	49348
4	205	40930
5	213	35305
6	220	31325
7	228	28327
8	236	26050
9	244	24242
10	254	22868
11	262	21606
12	270	20509
13	278	19595
14	285	18769
15	293	18066
16	301	17413
17	309	16869
18	318	16466
19	327	16058
20	336	15709
21	345	15350
22	353	15015
23	361	14705
24	370	14449
25	378	14182
26	389	14020
27	399	13879
28	405	13585
29	411	13289
30	415	12986
31	419	12693
32	423	12416
33	428	12183
34	432	11924
35	436	11684
36	440	11477
37	445	11266
38	448	11058
39	452	10856
40	457	10694
41	461	10516
42	464	10344
43	469	10207
44	473	10056
45	477	9905
46	481	9763
47	486	9648
48	490	9517
49	494	9387
50	499	9289
51	503	9171
52	507	9064
53	513	8990
54	517	8887
55	520	8780
56	525	8687
57	529	8605
58	533	8510
59	537	8424
60	542	8343
61	545	8259
62	549	8177
63	552	8086
64	557	8013
65	560	7929
66	563	7841
67	565	7753
68	569	7680
69	578	7679
70	582	7621
71	585	7545
72	588	7471
73	593	7422
74	596	7362
75	601	7311
76	606	7267
77	609	7201
78	611	7134
79	614	7069
80	617	7003
81	622	6964
82	625	6907
83	628	6848
84	630	6788
85	633	6729
86	638	6698
87	641	6644
88	644	6592
89	646	6536
90	650	6500
91	654	6457
92	657	6410
93	659	6360
94	662	6312
95	666	6279
96	669	6235
97	672	6191
98	675	6145
99	678	6103
100	681	6068
101	684	6027
102	687	5985
103	689	5943
104	694	5918
105	697	5879
106	700	5843
107	702	5804
108	706	5771
109	710	5749
110	713	5716
111	716	5683
112	720	5654
113	724	5633
114	727	5600
115	730	5568
116	733	5537
117	737	5511
118	740	5484
119	743	5454
120	746	5424
121	749	5394
122	753	5374
123	756	5345
124	759	5317
125	762	5289
126	765	5260
127	769	5241
128	772	5215
129	775	5190
130	778	5161
131	781	5137
132	783	5107
133	786	5083
134	789	5060
135	792	5035
136	795	5014
137	799	4994
138	802	4971
139	805	4947
140	808	4924
141	812	4908
142	815	4887
143	818	4867
144	821	4843
145	825	4826
146	828	4809
147	832	4792
148	835	4771
149	838	4751
150	842	4735
151	845	4718
152	848	4699
153	851	4679
154	855	4664
155	859	4648
156	862	4630
157	865	4611
158	868	4593
159	872	4582
160	875	4564
161	879	4546
162	881	4527
163	884	4510
164	888	4496
165	891	4479
166	894	4462
167	897	4444
168	901	4433
169	904	4415
170	907	4399
171	910	4383
172	913	4368
173	917	4356
174	920	4340
175	923	4325
176	926	4308
177	930	4294
178	933	4280
179	936	4265
180	939	4249
181	942	4236
182	947	4229
183	950	4215
184	953	4201
185	956	4187
186	960	4177
187	964	4164
188	967	4152
189	971	4141
190	976	4135
191	980	4126
192	984	4116
193	988	4106
194	992	4096
195	996	4087
196	999	4075
197	1003	4066
198	1008	4057
199	1012	4048
200	1016	4038
201	1021	4033
202	1024	4022
203	1028	4012
204	1031	4001
205	1036	3995
206	1039	3983
207	1042	3971
208	1045	3958
209	1050	3951
210	1053	3939
211	1057	3929
212	1060	3919
213	1065	3915
214	1068	3902
215	1071	3889
216	1074	3876
217	1076	3862
218	1080	3854
219	1083	3841
220	1086	3829
221	1089	3817
222	1092	3805
223	1096	3798
224	1099	3787
225	1102	3777
226	1105	3765
227	1110	3761
228	1113	3749
229	1116	3739
230	1119	3727
231	1122	3717
232	1126	3708
233	1129	3697
234	1132	3686
235	1135	3674
236	1138	3663
237	1141	3653
238	1144	3642
239	1146	3631
240	1149	3619
241	1152	3610
242	1155	3601
243	1158	3589
244	1161	3578
245	1163	3567
246	1166	3556
247	1170	3548
248	1173	3539
249	1176	3530
250	1179	3521
251	1183	3512
252	1186	3503
253	1189	3493
254	1192	3484
255	1195	3474
256	1199	3467
257	1202	3457
258	1205	3448
259	1208	3439
260	1211	3429
261	1215	3422
262	1217	3412
263	1220	3403
264	1223	3394
265	1226	3385
266	1230	3377
267	1233	3367
268	1236	3358
269	1238	3348
270	1241	3339
271	1245	3332
272	1248	3323
273	1251	3315
274	1254	3306
275	1257	3297
276	1260	3289
277	1263	3281
278	1266	3271
279	1268	3262
280	1272	3255
281	1275	3246
282	1278	3238
283	1281	3230
284	1284	3221
285	1287	3214
286	1290	3206
287	1293	3198
288	1296	3189
289	1299	3181
290	1303	3174
291	1306	3167
292	1309	3159
293	1311	3150
294	1315	3144
295	1319	3137
296	1322	3129
297	1325	3121
298	1327	3113
299	1330	3105
300	1334	3098
301	1337	3091
302	1340	3083
303	1342	3074
304	1345	3066
305	1349	3061
306	1352	3053
307	1355	3046
308	1358	3037
309	1362	3031
310	1364	3023
311	1367	3016
312	1370	3008
313	1373	3000
314	1377	2995
315	1380	2987
316	1383	2981
317	1386	2972
318	1389	2965
319	1392	2959
320	1395	2952
