iter	RMSE
350	52.29998067
351	52.28235245
352	52.2668057
353	52.2534176
354	52.24081799
355	52.20156017
356	52.1864444
357	52.16213812
358	52.15047309
359	52.08468261
360	52.0271694
361	51.97316729
362	51.94903418
363	51.93721878
364	51.89405999
365	51.85328831
366	51.81770771
367	51.80736093
368	51.76915503
369	51.76489446
370	51.74732771
371	51.71441938
372	51.6649856
373	51.65235219
374	51.63992537
375	51.62401139
376	51.61239541
377	51.595392
378	51.54898425
379	51.5178021
380	51.4531768
381	51.44136492
382	51.38034578
383	51.32270945
384	51.30578568
385	51.29505681
386	51.26734569
387	51.23455294
388	51.19990425
389	51.16185032
390	51.11047976
391	51.1046084
392	51.08875879
393	51.05928178
394	51.05068188
395	51.04132742
396	51.02778328
397	50.99280203
398	50.94631783
399	50.93288108
400	50.90118944
401	50.89119655
402	50.87773
403	50.86346215
404	50.83859105
405	50.82964603
406	50.81938651
407	50.7756464
408	50.76090292
409	50.73066126
410	50.7157525
411	50.70605954
412	50.70173731
413	50.68012689
414	50.6394999
415	50.62749816
416	50.61882402
417	50.6063251
418	50.59460385
419	50.57478934
420	50.53482088
421	50.52217165
422	50.50653727
423	50.4979493
424	50.48514787
425	50.45704444
426	50.39755164
427	50.37304458
428	50.3627727
429	50.34754811
430	50.3106202
431	50.28869965
432	50.26671572
433	50.25919579
434	50.23511279
435	50.18093543
436	50.16851384
437	50.13478872
438	50.12027396
439	50.1115425
440	50.10392718
441	50.0948798
442	50.07527156
443	50.06447312
444	50.05129998
445	50.03833871
446	50.02495509
447	49.97447319
448	49.96332887
449	49.93113276
450	49.92294335
451	49.9050385
452	49.87395737
453	49.86585001
454	49.8577572
455	49.84741325
456	49.83973138
457	49.83272216
458	49.82377473
459	49.8068828
460	49.78475809
461	49.77211985
462	49.76099579
463	49.75044019
464	49.73825301
465	49.72831273
466	49.7188604
467	49.71143981
468	49.70850909
469	49.69695499
470	49.65124703
471	49.64166026
472	49.63448268
473	49.62558993
474	49.61418196
475	49.60549687
476	49.59977422
477	49.58966619
478	49.58238627
479	49.57102275
480	49.56079649
481	49.55205674
482	49.50845771
483	49.46691389
484	49.40960461
485	49.40648947
486	49.39857587
487	49.38971116
488	49.38671334
489	49.33219277
490	49.32518335
491	49.27333145
492	49.2645535
493	49.25463692
494	49.24810899
495	49.24076678
496	49.23518202
497	49.22025899
498	49.18479576
499	49.17480708
500	49.16130404
501	49.1261556
502	49.11720708
503	49.08370989
504	49.07256051
505	49.06776711
506	49.06159886
507	49.02963348
508	49.01198464
509	49.00062787
510	48.98286828
511	48.97501041
512	48.96656782
513	48.96025086
514	48.95536198
515	48.94128763
516	48.93356783
517	48.92370869
518	48.91150318
519	48.90216075
520	48.89677658
521	48.89080314
522	48.88404331
523	48.87027379
524	48.85342795
525	48.809346
526	48.79929534
527	48.79050751
528	48.77482617
529	48.7694281
530	48.76382065
531	48.75330222
532	48.74784455
533	48.7418038
534	48.73748427
535	48.7290862
536	48.72124064
537	48.71550026
538	48.70926383
539	48.69763982
540	48.69271897
541	48.68821038
542	48.68287271
543	48.67491543
544	48.66725079
545	48.66363365
546	48.65279578
547	48.64855002
548	48.61127351
549	48.60535856
550	48.57228277
551	48.56647477
552	48.52580299
553	48.51893931
554	48.51117353
555	48.47236463
556	48.44133702
557	48.43706063
558	48.42709713
559	48.40156547
560	48.39470776
561	48.38673914
562	48.37666533
563	48.37365283
564	48.36574162
565	48.33200024
566	48.32367393
567	48.28839793
568	48.25253125
569	48.25004529
570	48.23667178
571	48.2312701
572	48.20301854
573	48.1956715
574	48.19048646
575	48.18120357
576	48.14861311
577	48.14653172
578	48.13616366
579	48.12377948
580	48.09310175
581	48.08388505
582	48.05543819
583	48.04430363
584	48.03970139
585	48.0325266
586	48.02426365
587	48.01796205
588	47.99054129
589	47.98385436
590	47.97794586
591	47.97121682
592	47.96189447
593	47.95618778
594	47.94877579
595	47.94548121
596	47.93866985
597	47.93345384
598	47.92489867
599	47.91519184
600	47.91316463
601	47.88258431
602	47.87719548
603	47.8710528
604	47.85986554
605	47.84140905
606	47.82364566
607	47.81996955
608	47.81382384
609	47.80334249
610	47.79497413
611	47.79094826
612	47.78214442
613	47.77181968
614	47.76583475
615	47.7609401
616	47.75318883
617	47.74219486
618	47.73505467
619	47.72902561
620	47.7196909
621	47.71417407
622	47.70389236
623	47.6972775
624	47.692331
625	47.68650874
626	47.66680598
627	47.66212923
628	47.6548562
629	47.64824644
630	47.63879803
631	47.63543167
632	47.6280545
633	47.62205511
634	47.61840404
635	47.61055321
636	47.60066888
637	47.59160994
638	47.57829956
639	47.57206152
640	47.56570044
641	47.56429839
642	47.56052068
643	47.55450623
644	47.54725983
645	47.52131503
646	47.51400548
647	47.50726291
648	47.50495401
649	47.49975027
650	47.49711766
651	47.49208368
652	47.48721464
653	47.47955539
654	47.47187434
655	47.46635588
656	47.46331447
657	47.44583523
658	47.44110517
659	47.43639984
660	47.4328869
661	47.42616957
662	47.41805944
663	47.41621101
664	47.39118457
665	47.38478049
666	47.37720167
667	47.37039077
668	47.36542615
669	47.36349897
670	47.35538762
671	47.34786689
672	47.34156524
673	47.33498665
674	47.32803967
675	47.32258697
676	47.31782
677	47.3112937
678	47.28793234
679	47.28282364
680	47.27051934
681	47.26605174
682	47.25938439
683	47.25370481
684	47.24759534
685	47.24074136
686	47.23505577
687	47.23134084
688	47.22971389
689	47.2263218
690	47.20002168
691	47.1981168
692	47.19285026
693	47.18730457
694	47.18149564
695	47.1747027
696	47.16762299
697	47.14235239
698	47.13840887
699	47.12228425
700	47.11944714
701	47.11431587
702	47.10607438
703	47.09950684
704	47.09513791
705	47.08975895
706	47.06589721
707	47.06240693
708	47.04935638
709	47.04548501
710	47.04464706
711	47.04288933
712	47.0396774
713	47.03721265
714	47.03318428
715	47.02599315
716	47.01897041
717	47.01608496
718	47.00882453
719	47.0043501
720	46.99965021
721	46.99605169
722	46.9910749
723	46.98446919
724	46.98032325
725	46.97946632
726	46.9680104
727	46.96267914
728	46.95710347
729	46.95114921
730	46.92834337
731	46.92574173
732	46.92289632
733	46.91850026
734	46.91519523
735	46.91075806
736	46.90004618
737	46.8958589
738	46.87239166
739	46.86643814
740	46.86036314
741	46.83891533
742	46.83653081
743	46.83146701
744	46.82548912
745	46.81869446
746	46.79770558
747	46.79610042
748	46.78100951
749	46.77719236
750	46.77038101
751	46.76832323
752	46.76321422
753	46.75885983
754	46.75537816
755	46.73588927
756	46.73278614
757	46.72642594
758	46.7131638
759	46.70597169
760	46.70229699
761	46.69896811
762	46.69516938
763	46.69159395
764	46.67730292
765	46.67153199
766	46.66653251
767	46.65881335
768	46.65720569
769	46.65312734
770	46.64602916
771	46.63932909
772	46.61667298
773	46.59493377
774	46.58954111
775	46.58111124
776	46.57644878
777	46.57323728
778	46.56541754
779	46.56082283
780	46.55688382
781	46.55097176
782	46.53775534
783	46.53567551
784	46.5238307
785	46.52107932
786	46.51588751
787	46.51232642
788	46.50229755
789	46.49747602
790	46.49311092
791	46.48883421
792	46.48482546
793	46.48097842
794	46.4761343
795	46.4708452
796	46.465212
797	46.46151734
798	46.4569008
799	46.45253821
800	46.44929704
801	46.4425228
802	46.43853012
803	46.42095066
804	46.4166609
805	46.41274197
806	46.39164097
807	46.38258451
808	46.36364962
809	46.35489643
810	46.34670322
811	46.33902911
812	46.33758706
813	46.33039391
814	46.32364732
815	46.31731514
816	46.31136768
817	46.30698239
818	46.30139088
819	46.29613147
820	46.29118074
821	46.28651709
822	46.28212053
823	46.2779726
824	46.27475578
825	46.27167749
826	46.24997393
827	46.24607326
828	46.22524434
829	46.22231264
830	46.21950641
831	46.19952536
832	46.19584301
833	46.19316439
834	46.17398096
835	46.17050372
836	46.15208308
837	46.14952246
838	46.1470712
839	46.12938814
840	46.12609539
841	46.12375074
842	46.10676161
843	46.10364867
844	46.08732679
845	46.08507834
846	46.08213379
847	46.06644526
848	46.06429198
849	46.05249256
850	46.03742093
851	46.034669
852	46.02017986
853	46.0088704
854	46.00622344
855	45.99535592
856	45.97127418
857	45.96864258
858	45.96603704
859	45.96350351
860	45.94998245
861	45.94748415
862	45.94502922
863	45.93203442
